"Id","SalePrice"
1461,116583.463600406
1462,154892.020279445
1463,183538.314608162
1464,197225.288095999
1465,204245.839592969
1466,171469.238273771
1467,178997.848398771
1468,160953.978937369
1469,197157.8151146
1470,119298.700641953
1471,182532.404665593
1472,100042.591030528
1473,96746.3012009871
1474,143989.179170685
1475,104972.311928993
1476,361397.610289238
1477,248868.304698903
1478,296617.376619812
1479,305042.936761869
1480,462881.789220368
1481,334360.912091716
1482,214704.424330498
1483,182002.170488096
1484,158243.964261764
1485,194932.622974348
1486,194370.908384569
1487,337879.366777204
1488,235041.260686602
1489,191992.395183565
1490,241457.529452202
1491,194299.047455458
1492,96556.6601023877
1493,184145.583362
1494,294352.119337863
1495,293618.449036788
1496,237270.514392792
1497,182135.010242503
1498,167759.872639672
1499,167038.282610409
1500,157210.633293644
1501,179846.235061559
1502,146846.159696774
1503,278220.987273779
1504,244660.994878931
1505,227802.019018295
1506,191201.488328128
1507,242012.016616853
1508,202506.22684546
1509,160301.125527703
1510,144766.455629575
1511,148875.488891619
1512,176512.786082787
1513,153594.885690673
1514,152325.342628156
1515,199169.155154135
1516,159199.972080542
1517,176404.022314771
1518,132445.606995881
1519,206771.129263533
1520,128843.310163226
1521,131001.720346439
1522,177302.848215646
1523,114799.438010256
1524,126224.73072316
1525,117270.951670364
1526,115457.338145837
1527,114227.694452397
1528,137225.28534164
1529,153244.823042093
1530,183286.763605611
1531,114819.611288587
1532,97524.1154757754
1533,141138.735857375
1534,123874.481309658
1535,149356.514510517
1536,110809.795634931
1537,61228.2221412107
1538,151773.474947641
1539,197805.80109889
1540,100169.854654832
1541,137586.837115631
1542,146512.217250733
1543,176822.03499677
1544,88072.2512127323
1545,120102.11385274
1546,140025.722533978
1547,130383.957299814
1548,139793.541346611
1549,118666.961026761
1550,139160.572500546
1551,105122.015500229
1552,134395.354487791
1553,145951.282293111
1554,116745.956697763
1555,161519.851174552
1556,86246.436773617
1557,114806.717317301
1558,100467.79085037
1559,62865.5152884187
1560,136996.228202084
1561,124117.604639762
1562,128739.4988881
1563,117811.761269542
1564,159908.811674438
1565,154428.042862402
1566,239831.149655688
1567,81864.4378389486
1568,232340.660779749
1569,124448.504825073
1570,137300.52796751
1571,119468.000239665
1572,138154.291665035
1573,241095.507884233
1574,126911.491221615
1575,218186.246790197
1576,237988.330358948
1577,175766.214371342
1578,149191.253439962
1579,146559.118835266
1580,196406.161441696
1581,154723.970104413
1582,125786.03221904
1583,274224.138738032
1584,213372.747834757
1585,137295.335140461
1586,64462.5574800313
